index,word,solution_count
0,абажур,10
1,абаз,1
2,абазин,5
3,абазинка,15
4,абака,0
5,аббат,0
6,аббатиса,6
7,аббатисса,7
8,аббатство,14
9,аббревиатура,50
10,абвер,8
11,абверовец,13
12,аберрация,12
13,абзац,2
14,абиогенез,26
15,абиссаль,7
16,абиссинец,11
17,абиссинка,15
18,абитуриент,64
19,абитуриентка,194
20,аболиционизм,52
21,аболиционист,61
22,аболиционистка,214
23,абонемент,33
24,абонент,15
25,абордаж,18
26,аборигенка,116
27,аборт,8
28,абразив,13
29,абразия,10
30,абракадабра,25
31,абрек,10
32,абрикос,31
33,абрикотин,84
34,абрис,6
35,абсент,11
36,абсентеизм,57
37,абсолют,9
38,абсолютизация,66
39,абсолютизирование,593
40,абсолютизм,56
41,абсолютист,29
42,абсолютистка,98
43,абсолютность,58
44,абсорбент,75
45,абсорбция,17
46,абстрагирование,384
47,абстракт,43
48,абстрактность,174
49,абстракционизм,488
50,абстракционист,326
51,абстракционистка,391
52,абстракция,85
53,абсурд,21
54,абсурдность,130
55,абсцесс,0
56,абсцисса,2
57,абулия,7
58,абхаз,2
59,абхазец,4
60,абхазка,5
61,абцуг,1
62,авангард,21
63,авангардизм,70
64,авангардист,114
65,аванзал,6
66,аванложа,11
67,аванпорт,49
68,аванпост,25
69,аванс,3
70,авансирование,81
71,авансодатель,141
72,авансодержатель,369
73,авансцена,15
74,авантюра,21
75,авантюризм,64
76,авантюрин,39
77,авантюрист,62
78,авантюристка,160
79,авантюрность,90
80,аварец,6
81,аварийность,121
82,авария,4
83,аварка,9
84,авгит,3
85,авгур,3
86,август,2
87,августинец,69
88,авиабаза,5
89,авиабилет,17
90,авиабомба,3
91,авиагоризонт,140
92,авиадесант,54
93,авиадесантник,160
94,авиаконструктор,479
95,авиалайнер,46
96,авиалиния,10
97,авиамагистраль,117
98,авиаматка,7
99,авиамеханик,36
100,авиамоделизм,69
101,авиамоделист,135
102,авиамодель,38
103,авиамотор,42
104,авианосец,32
105,авиапассажир,22
106,авиапочта,9
107,авиасалон,34
108,авиаспорт,83
109,авиастроение,192
110,авиастроитель,211
111,авиатор,24
112,авиатранспорт,204
113,авиатрасса,25
114,авиация,1
115,авиачасть,7
116,авиашкола,35
117,авиетка,7
118,авитаминоз,51
119,аврал,5
120,австерия,33
121,австралиец,79
122,австралийка,107
123,австриец,34
124,австрийка,65
125,автобаза,12
126,автобат,7
127,автобиограф,103
128,автобиографизм,199
129,автобиографичность,413
130,автобиография,118
131,автоблокировка,228
132,автобус,8
133,автовагон,19
134,автовокзал,47
135,автовышка,13
136,автогамия,25
137,автогенщик,81
138,автогигант,43
139,автогонка,40
140,автогонщик,62
141,автогонщица,43
142,автогравюра,41
143,автоград,48
144,автограф,47
145,автодело,27
146,автодиспетчер,244
147,автодорога,57
148,автодорожник,162
149,автодрезина,181
150,автодром,34
151,автожир,19
152,автозавод,22
153,автозаводец,37
154,автозаправщик,154
155,автоинспектор,606
156,автоинспекция,325
157,автокар,44
158,автоклав,19
159,автоклуб,43
160,автоколонна,63
161,автокомбинат,114
162,автокормушка,163
163,автокран,72
164,автокрановщик,180
165,автокрановщица,179
166,автократ,53
167,автократия,77
168,автол,6
169,автолиз,22
170,автолитография,156
171,автолюбитель,67
172,автомагистраль,239
173,автомат,9
174,автоматизация,34
175,автоматизирование,271
176,автоматизм,28
177,автоматика,29
178,автоматичность,99
179,автоматчик,34
180,автомашина,34
181,автомашинист,91
182,автомеханик,130
183,автомобилеразгрузчик,1086
184,автомобилестроение,703
185,автомобилестроитель,484
186,автомобилизация,107
187,автомобилизм,68
188,автомобилист,80
189,автомобилистка,244
190,автомобиль,46
191,автомотоклуб,100
192,автомотолотерея,97
193,автомотриса,106
194,автономия,26
195,автономность,41
196,автопарк,69
197,автопилот,39
198,автоплатформа,127
199,автопогрузчик,234
200,автопоезд,33
201,автопоилка,107
202,автопокрышка,148
203,автопортрет,51
204,автоприцеп,57
205,автопробег,71
206,автор,12
207,автореферат,51
208,авторефрижератор,89
209,авторизация,48
210,авторитаризм,79
211,авторитарность,144
212,авторитет,28
213,авторитетность,193
214,авторство,36
215,авторулевой,65
216,авторучка,70
217,автосалон,36
218,автосварка,80
219,автосварщик,122
220,автослесарь,131
221,автоспорт,61
222,автостанция,54
223,автостоянка,72
224,автострада,59
225,автостроение,192
226,автостроитель,196
227,автосцепка,85
228,автотележка,63
229,автотипия,9
230,автотормоз,37
231,автотранспорт,143
232,автотрасса,49
233,автотропизм,88
234,автотуризм,72
235,автотурист,63
236,автотягач,12
237,автофургон,83
238,автохозяйство,35
239,автоцементовоз,62
240,автоцистерна,235
241,автошина,18
242,автоштурман,103
243,агава,1
244,агальматолит,35
245,агама,1
246,агамия,4
247,агар,1
248,агарянин,17
249,агарянка,23
250,агат,0
251,агглютинативность,212
252,агглютинирование,289
253,аггравация,19
254,агентство,53
255,агентура,53
256,агиография,21
257,агитатор,28
258,агитационность,75
259,агитация,2
260,агитбригада,40
261,агитирование,139
262,агитпроп,30
263,агитпункт,37
264,агломерат,61
265,агломератчик,241
266,агнат,3
267,агностик,60
268,агностицизм,93
269,агония,4
270,агорафобия,33
271,аграмант,31
272,аграрий,6
273,агрегатирование,183
274,агреман,22
275,агрессивность,241
276,агрессия,15
277,агрессор,14
278,агроклиматология,219
279,агрокультура,102
280,агролесомелиоратор,249
281,агролесомелиорация,164
282,агромелиоратор,120
283,агромелиорация,84
284,агрометеоролог,76
285,агрометеорология,152
286,агроминимум,49
287,агроном,22
288,агрономия,47
289,агротехник,145
290,агротехника,205
291,агрофизик,25
292,агрофизика,40
293,агрохимик,35
294,агрохимия,29
295,агрохимлаборатория,202
296,агул,4
297,агулка,11
298,ад,0
299,адамсит,10
300,адаптер,17
301,адаптивность,103
302,адаптометр,77
303,адат,2
304,адвекция,11
305,адвентизм,50
306,адвентист,55
307,адвербиализация,107
308,адвокат,17
309,адвокатство,64
310,адвокатура,95
311,адгезия,7
312,адекватность,168
313,аденовирус,117
314,аденоид,13
315,аденома,17
316,адепт,2
317,аджарец,13
318,аджарка,17
319,аджика,2
320,адинамия,10
321,администратор,209
322,администраторство,335
323,администрация,129
324,администрирование,494
325,адмиралтейство,370
326,адоптация,17
327,адреналин,34
328,адрес,8
329,адресант,50
330,адресат,19
331,адряс,9
332,адсорбент,107
333,адсорбция,37
334,адуляр,12
335,адъективация,35
336,адъюнкт,7
337,адъюнктство,49
338,адъюнктура,76
339,адъютант,7
340,адъютантская,34
341,адъютантство,37
342,адыгеец,2
343,адыгейка,5
344,ажан,0
345,ажгон,3
346,ажиотаж,1
347,ажурность,58
348,азалия,5
349,азан,0
350,азарт,3
351,азартность,58
352,азбука,6
353,азбуковник,65
354,азбучность,47
355,азербайджанец,65
356,азербайджанка,112
357,азиат,0
358,азиатец,2
359,азиатка,5
360,азид,2
361,азимут,6
362,азональность,56
363,азот,1
364,азотемия,18
365,азотизация,4
366,азотирование,124
367,азотобактер,108
368,азотобактерин,308
369,азотоген,19
370,азур,1
371,азурит,7
372,аил,1
373,аист,1
374,аистенок,77
375,аистник,18
376,айва,0
377,айван,1
378,айлант,4
379,аймак,3
380,айран,3
381,айсберг,16
382,айсор,7
383,айсорка,25
384,академгородок,100
385,академизм,21
386,академик,14
387,академичность,321
388,академия,13
389,акание,3
390,акант,5
391,акарицид,15
392,акароз,10
393,акарология,55
394,акафист,15
395,акация,1
396,аквадаг,4
397,акваланг,22
398,аквалангист,124
399,аквалангистка,136
400,аквамарин,45
401,аквамобиль,53
402,акванавт,12
403,акванавтика,31
404,акванавтка,14
405,акварелист,171
406,акварелистка,201
407,акварель,36
408,аквариум,26
409,аквариумист,126
410,акватинта,30
411,акватипия,17
412,акватория,61
413,акведук,7
414,аквилегия,24
415,акинезия,10
416,акклиматизатор,192
417,акклиматизация,68
418,акклиматизирование,816
419,аккомодация,29
420,аккомпанемент,90
421,аккомпаниатор,271
422,аккомпанирование,335
423,аккордеон,62
424,аккордеонист,344
425,аккордеонистка,447
426,аккредитация,78
427,аккредитив,52
428,аккредитование,392
429,аккумулирование,360
430,аккумулятор,97
431,аккумуляция,35
432,аккуратность,194
433,акмеизм,6
434,акмеист,26
435,акмеистка,44
436,аконит,18
437,акр,2
438,акрида,11
439,акрил,11
440,акрихин,12
441,акробат,44
442,акробатика,72
443,акробатка,52
444,акрополь,29
445,акростих,66
446,аксакал,5
447,аксамит,20
448,акселерант,123
449,акселерат,65
450,акселератка,79
451,акселератор,140
452,акселерация,75
453,акселерометр,176
454,аксельбант,86
455,аксессуар,26
456,аксиома,16
457,аксиоматика,62
458,аксон,8
459,актер,11
460,актерство,132
461,активатор,69
462,активация,10
463,активизация,23
464,активизирование,307
465,активирование,214
466,активист,18
467,активистка,30
468,активность,90
469,актиний,10
470,актиния,9
471,актинограф,158
472,актинометр,160
473,актинометрия,211
474,актирование,206
475,актриса,41
476,актуализация,50
477,актуализирование,631
478,актуализм,47
479,актуальность,111
480,акуленок,29
481,акустик,20
482,акустика,24
483,акушер,7
484,акушерка,18
485,акушерство,175
486,акцент,7
487,акцентирование,323
488,акцентология,167
489,акцентуация,50
490,акциз,0
491,акционер,41
492,акын,1
493,аларм,5
494,алатырь,10
495,албанец,4
496,албанка,11
497,алгебра,18
498,алгебраист,97
499,алгоритм,48
500,алгоритмизация,139
501,алебарда,17
502,алебардист,91
503,алебардник,131
504,алебардщик,68
505,алебастр,34
506,александрит,294
507,алеут,4
508,алеутка,11
509,алжирец,14
510,алжирка,20
511,ализарин,14
512,алкалоид,18
513,алкоголизм,43
514,алкоголик,21
515,алкоголь,4
516,алконост,48
517,аллегоризм,68
518,аллегоричность,313
519,аллегория,28
520,аллерген,14
521,аллергия,19
522,аллерголог,15
523,аллергология,37
524,аллея,2
525,аллигатор,40
526,аллитерация,30
527,аллопат,16
528,аллопатия,28
529,аллювий,5
530,аллюзия,4
531,аллюр,4
532,алмаз,3
533,алогизм,19
534,алогичность,94
535,алость,9
536,алтабас,4
537,алтаец,2
538,алтайка,6
539,алтарь,8
540,алтей,4
541,алтын,4
542,алунит,18
543,алфавит,17
544,алхимик,9
545,алхимия,7
546,алчность,26
547,алчущая,6
548,алчущий,7
549,алыча,1
550,альбатрос,52
551,альбинизм,18
552,альбинос,27
553,альбиноска,92
554,альбом,4
555,альбумин,22
556,альвеола,4
557,альдегид,12
558,алькальд,5
559,альков,8
560,альмавива,6
561,альманах,8
562,альмандин,21
563,альпеншток,116
564,альпинарий,19
565,альпиниада,20
566,альпинизм,19
567,альпинист,30
568,альпинистка,127
569,альтерация,37
570,альтернатива,112
571,альтернативность,411
572,альтиметр,36
573,альтист,9
574,альтистка,32
575,альтруизм,49
576,альтруист,45
577,альтруистичность,217
578,альтруистка,127
579,альфонс,13
580,альянс,4
581,алюминий,6
582,аляповатость,81
583,амальгама,9
584,амальгамация,23
585,амальгамирование,226
586,амариллис,15
587,амбар,7
588,амбивалентность,393
589,амбистома,27
590,амбициозность,106
591,амбиция,2
592,амбра,7
593,амбразура,28
594,амбулатория,110
595,амвон,2
596,американец,68
597,американизация,141
598,американизм,97
599,американист,233
600,американистика,282
